X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon
-84.469302,33.754553,1,907933,27,HAMILTON E HOLMES STATION,33.754553,-84.469302
-84.445329,33.7533280000001,2,908023,28,WEST LAKE STATION,33.753328,-84.445329
-84.445568,33.753247,3,907906,39,WEST LAKE STATION,33.753247,-84.445568
-84.469824,33.7545170000001,4,907907,40,HAMILTON E HOLMES STATION,33.754517,-84.469824
-84.344213,33.9208620000001,5,908051,53,DUNWOODY STATION,33.920862,-84.344213
-84.369357,33.823385,6,908054,57,LINDBERGH CENTER STATION,33.823385,-84.369357
-84.3693239999999,33.823492,7,908055,58,LINDBERGH CENTER STATION,33.823492,-84.369324
-84.3442679999999,33.9211300000001,8,908047,61,DUNWOODY STATION,33.92113,-84.344268
-84.3392449999999,33.860329,9,908186,83,BROOKHAVEN-OGLETHORPE STATION,33.860329,-84.339245
-84.339397,33.859989,10,908187,84,BROOKHAVEN-OGLETHORPE STATION,33.859989,-84.339397
-84.387414,33.7896690000001,11,906369,111,ARTS CENTER STATION,33.789669,-84.387414
-84.3872719999999,33.788828,12,906370,112,ARTS CENTER STATION,33.788828,-84.387272
-84.386342,33.7812470000001,13,908374,133,MIDTOWN  STATION,33.781247,-84.386342
-84.386353,33.7813550000001,14,908375,134,MIDTOWN STATION,33.781355,-84.386353
-84.312937,33.7652410000001,15,908566,185,EAST LAKE STATION,33.765241,-84.312937
-84.3134259999999,33.7651960000001,16,908567,186,EAST LAKE STATION,33.765196,-84.313426
-84.295417,33.7746990000001,17,908475,193,DECATUR STATION,33.774699,-84.295417
-84.3408249999999,33.761803,18,908476,195,EDGEWOOD-CANDLER PARK STATION,33.761803,-84.340825
-84.385915,33.750161,19,908618,198,GEORGIA STATE STATION,33.750161,-84.385915
-84.385882,33.750143,20,908696,201,GEORGIA STATE STATION,33.750143,-84.385882
-84.340456,33.7618660000001,21,908699,204,EDGEWOOD-CANDLER PARK STATION,33.761866,-84.340456
-84.2953189999999,33.774681,22,908700,206,DECATUR STATION,33.774681,-84.295319
-84.4405419999999,33.677424,23,908628,217,EAST POINT STATION,33.677424,-84.440542
-84.4287679999999,33.70088,24,908629,218,LAKEWOOD-FT MCPHERSON STATION,33.70088,-84.428768
-84.413653,33.736564,25,908704,219,WEST END STATION,33.736564,-84.413653
-84.413663,33.7357050000001,26,908705,220,WEST END STATION,33.735705,-84.413663
-84.428865,33.700298,27,908706,221,LAKEWOOD-FT MCPHERSON STATION,33.700298,-84.428865
-84.440704,33.6769850000001,28,908707,222,EAST POINT STATION,33.676985,-84.440704
-84.252151,33.7727640000001,29,908709,224,KENSINGTON STATION,33.772764,-84.252151
-84.251607,33.7726470000001,30,908634,232,KENSINGTON STATION,33.772647,-84.251607
-84.3583869999999,33.845307,31,908717,243,LENOX STATION,33.845307,-84.358387
-84.367629,33.84781,32,908718,244,BUCKHEAD STATION,33.84781,-84.367629
-84.367716,33.847944,33,908639,249,BUCKHEAD STATION,33.847944,-84.367716
-84.358235,33.8453880000001,34,906827,250,LENOX STATION,33.845388,-84.358235
-84.428873,33.772159,35,907960,269,BANKHEAD STATION,33.772159,-84.428873
-84.428906,33.772436,36,907961,270,BANKHEAD STATION,33.772436,-84.428906
-84.387258,33.7714720000001,37,907913,280,NORTH AVENUE STATION,33.771472,-84.387258
-84.3872039999999,33.7717410000001,38,907914,281,NORTH AVENUE STATION,33.771741,-84.387204
-84.414774,33.81354,39,906311,355,HOWELL MILL RD @ KIPLING DR,33.81354,-84.414774
-84.281166,33.902411,40,908862,375,DORAVILLE STATION,33.902411,-84.281166
-84.28061,33.902787,41,908845,384,DORAVILLE STATION,33.902787,-84.28061
-84.35189,33.910757,42,908872,394,MEDICAL CENTER STATION,33.910757,-84.35189
-84.351759,33.910739,43,908885,399,MEDICAL CENTER STATION,33.910739,-84.351759
-84.387504,33.766111,44,908911,429,CIVIC CENTER STATION,33.766111,-84.387504
-84.387504,33.766236,45,908912,430,CIVIC CENTER STATION,33.766236,-84.387504
-84.403902,33.7566130000001,46,908958,470,VINE CITY STATION,33.756613,-84.403902
-84.4040209999999,33.7566130000001,47,908959,471,VINE CITY STATION,33.756613,-84.404021
-84.41723,33.7564780000001,48,908963,485,ASHBY STATION,33.756478,-84.41723
-84.4173279999999,33.7564770000001,49,908964,486,ASHBY STATION,33.756477,-84.417328
-84.4250299999999,33.7173000000001,50,908301,693,OAKLAND CITY STATION,33.7173,-84.42503
-84.4251379999999,33.716978,51,908302,694,OAKLAND CITY STATION,33.716978,-84.425138
-84.357253,33.944377,52,908480,730,NORTH SPRINGS STATION,33.944377,-84.357253
-84.397215,33.756179,53,908435,796,GWCC-CNN CENTER STATION,33.756179,-84.397215
-84.391397,33.753837,54,908981,797,FIVE POINTS STATION,33.753837,-84.391397
-84.3756749999999,33.7499510000001,55,908436,798,KING MEMORIAL STATION,33.749951,-84.375675
-84.352762,33.7574510000001,56,908437,799,INMAN PARK-REYNOLDSTOWN STATION,33.757451,-84.352762
-84.281487,33.7755540000001,57,908438,800,AVONDALE STATION,33.775554,-84.281487
-84.2289059999999,33.7698560000001,58,908515,801,INDIAN CREEK STATION,33.769856,-84.228906
-84.2298739999999,33.769893,59,908516,802,INDIAN CREEK STATION,33.769893,-84.229874
-84.2824659999999,33.7752140000001,60,908691,803,AVONDALE STATION,33.775214,-84.282466
-84.353066,33.7572270000001,61,908692,804,INMAN PARK-REYNOLDSTOWN STATION,33.757227,-84.353066
-84.3759899999999,33.749853,62,908693,805,KING MEMORIAL STATION,33.749853,-84.37599
-84.391876,33.7541230000001,63,908990,806,FIVE POINTS STATION,33.754123,-84.391876
-84.3972909999999,33.7561870000001,64,908694,807,GWCC-CNN CENTER STATION,33.756187,-84.397291
-84.446198,33.640831,65,908695,808,AIRPORT STATION,33.640831,-84.446198
-84.448656,33.6505770000001,66,908599,809,COLLEGE PARK STATION,33.650577,-84.448656
-84.395545,33.7489380000001,67,908600,810,GARNETT STATION,33.748938,-84.395545
-84.391452,33.7540520000001,68,908986,811,FIVE POINTS STATION,33.754052,-84.391452
-84.387596,33.7581890000001,69,908601,812,PEACHTREE CENTER STATION,33.758189,-84.387596
-84.305556,33.887929,70,908603,814,CHAMBLEE STATION,33.887929,-84.305556
-84.306362,33.8875170000001,71,908604,815,CHAMBLEE STATION,33.887517,-84.306362
-84.387595,33.7580820000001,72,907842,817,PEACHTREE CENTER STATION,33.758082,-84.387595
-84.39156,33.753899,73,908976,818,FIVE POINTS STATION,33.753899,-84.39156
-84.395741,33.7486960000001,74,907843,819,GARNETT STATION,33.748696,-84.395741
-84.448612,33.6502820000001,75,907844,820,COLLEGE PARK STATION,33.650282,-84.448612
-84.446198,33.6405530000001,76,906647,821,AIRPORT STATION,33.640553,-84.446198
-84.3510689999999,33.9316710000001,77,907845,822,SANDY SPRINGS STATION,33.931671,-84.351069
-84.35096,33.931564,78,907846,823,SANDY SPRINGS STATION,33.931564,-84.35096
-84.446197,33.640294,79,906837,1118,AIRPORT STATION,33.640294,-84.446197
-84.2942179999999,34.0894950000001,80,902632,9008,N MAIN ST @ WINTHROPE PARK DR,34.089495,-84.294218
-84.294957,34.0858260000001,81,902630,9012,N MAIN ST @ 379,34.085826,-84.294957
-84.294755,34.0838600000001,82,902631,9016,N MAIN ST @ 301,34.08386,-84.294755
-84.294607,34.0822920000001,83,900005,9020,N MAIN ST @ PINE GROVE DR,34.082292,-84.294607
-84.29444,34.0804010000001,84,900006,9025,N MAIN ST @ MAYFIELD RD,34.080401,-84.29444
-84.294291,34.078152,85,900018,9030,N MAIN ST @ CUMMING ST,34.078152,-84.294291
-84.2942879999999,34.076201,86,900007,9031,N MAIN ST @ ACADEMY ST,34.076201,-84.294288
-84.292399,34.090788,87,900008,9034,N MAIN ST @ VAUGHAN DR,34.090788,-84.292399
-84.293124,34.090721,88,900010,9224,N MAIN ST @ VAUGHAN DR,34.090721,-84.293124
-84.2950509999999,34.082476,89,900011,9226,N MAIN ST @ PINE GROVE DR,34.082476,-84.295051
-84.268277,34.0875800000001,90,900012,10004,WINDWARD PKWY @ DEERFIELD PKWY,34.08758,-84.268277
-84.2651319999999,34.087337,91,900013,10006,WINDWARD PKWY @ 5532,34.087337,-84.265132
-84.2579,34.0888600000001,92,900014,10008,WINDWARD PKWY @ NORTH POINT PKWY,34.08886,-84.2579
-84.257107,34.088603,93,902838,10010,WINDWARD PKWY @ NORTH POINT PKWY,34.088603,-84.257107
-84.421186,33.7548090000001,94,902839,10040,MARTIN L KING JR DR NW @ OLLIE ST NW,33.754809,-84.421186
-84.2594799999999,34.08083,95,902840,10044,NORTH POINT PKY@900,34.08083,-84.25948
-84.260238,34.0784130000001,96,902796,10046,NORTH POINT PKY@960,34.078413,-84.260238
-84.2568699999999,34.0864500000001,97,902797,10048,NORTH POINT PKY@300,34.08645,-84.25687
-84.2606959999999,34.0781630000001,98,902798,10054,NORTH POINT PKY @ 960,34.078163,-84.260696
-84.260458,34.076401,99,902799,10056,NORTH POINT PKY @ WEBB BRIDGE RD,34.076401,-84.260458
-84.404936,33.748929,100,902902,10134,ATLANTA STUDENT MOVEMENT BLVD @ NORTHSIDE DR SW,33.748929,-84.404936
-84.27003,34.0908150000001,101,906745,10142,DEERFIELD PKWY @ MORRIS RD,34.090815,-84.27003
-84.276484,34.0922780000001,102,902976,10146,WINDWARD PKWY @ JORDAN CT,34.092278,-84.276484
-84.277967,34.09459,103,902977,10148,SR 9 @ WINDWARD PKWY,34.09459,-84.277967
-84.2843119999999,34.092248,104,902978,10150,N MAIN ST @ COGBURN RD,34.092248,-84.284312
-84.290431,34.0917260000001,105,902903,10168,N MAIN ST @ 684,34.091726,-84.290431
-84.2886149999999,34.0919270000001,106,902904,10170,N MAIN ST @ WATER OAK PL,34.091927,-84.288615
-84.269247,34.089933,107,902905,10172,DEERFIELD PKWY @ MORRIS RD,34.089933,-84.269247
-84.270926,34.0933700000001,108,902979,10174,DEERFIELD PKWY @ TWO VERIZON PL,34.09337,-84.270926
-84.267954,34.0954800000001,109,902980,10176,DEERFIELD PKWY @ THREE VERIZON PL,34.09548,-84.267954
-84.279531,34.093963,110,902981,10186,N MAIN ST @ WINDWARD PKY W,34.093963,-84.279531
-84.24747,34.0625600000001,111,902982,10188,OLD MILTON PKY @ BRIDGE POINTE DR,34.06256,-84.24747
-84.2854149999999,34.0920390000001,112,903045,10212,N MAIN ST @ HENDERSON PKWY,34.092039,-84.285415
-84.29524,34.0887950000001,113,903046,10214,N MAIN ST @ CANTON ST,34.088795,-84.29524
-84.253908,34.064694,114,903083,10218,OLD MILTON PKWY @ BROOKSIDE PKY,34.064694,-84.253908
-84.2544,34.06235,115,903084,10220,BROOKSIDE PKWY @ 3705,34.06235,-84.2544
-84.252481,34.061248,116,903085,10222,BROOKSIDE PKWY @ 3775,34.061248,-84.252481
-84.2444149999999,34.0614390000001,117,903185,10232,OLD MILTON PKWY @ ROCKBERRY LN,34.061439,-84.244415
-84.253526,34.064854,118,903186,10234,OLD MILTON PKWY @ COTTON CREEK ENTRY,34.064854,-84.253526
-84.258072,34.0667050000001,119,902637,10238,OLD MILTON PKWY @ 3502,34.066705,-84.258072
-84.2573199999999,34.08513,120,902638,10244,NORTH POINT PKY@500,34.08513,-84.25732
-84.269008,34.087517,121,902639,10248,WINDWARD PKWY @ WESTSIDE PKWY,34.087517,-84.269008
-84.2605609999999,34.096344,122,903217,10250,MORRIS RD @ WEBB RD,34.096344,-84.260561
-84.2625629999999,34.094303,123,903218,10252,MORRIS RD@13010,34.094303,-84.262563
-84.242611,34.06095,124,903219,10254,OLD MILTON PKWY @ PARK BRIDGE PKWY,34.06095,-84.242611
-84.278328,34.093579,125,903220,10256,WINDWARD PKWY @ N MAIN ST,34.093579,-84.278328
-84.2605589999999,34.085992,126,902641,10266,WINDWARD PARK & RIDE,34.085992,-84.260559
-84.261262,34.0810000000001,127,902643,10270,MORRIS RD @ 12395,34.081,-84.261262
-84.265427,34.087024,128,902644,10272,WINDWARD PKWY @ 5555,34.087024,-84.265427
-84.264371,34.0975090000001,129,902649,10274,DEERFIELD PKWY @ WEBB RD,34.097509,-84.264371
-84.266497,34.091014,130,902650,10276,MORRIS RD @ ONE VERIZON PL,34.091014,-84.266497
-84.3395839999999,34.0463290000001,131,902765,14002,ALPHARETTA HWY @ HOUZE WAY,34.046329,-84.339584
-84.3378059999999,34.0497720000001,132,902766,14004,ALPHARETTA HWY@SUN VALLEY DR,34.049772,-84.337806
-84.334413,34.0518660000001,133,902772,14009,ALPHARETTA HWY @ ELKINS RD,34.051866,-84.334413
-84.330254,34.054226,134,902773,14010,ALPHARETTA HWY@MANSELL PL,34.054226,-84.330254
-84.329132,34.0551150000001,135,902774,14012,ALPHARETTA HWY @ GREENHOUSE DR,34.055115,-84.329132
-84.326409,34.058438,136,902767,14014,ALPHARETTA HWY@ROSEMONT PKY,34.058438,-84.326409
-84.324602,34.0608320000001,137,902768,14018,ALPHARETTA HWY@HEMBREE RD,34.060832,-84.324602
-84.322976,34.0627470000001,138,902769,14020,ALPHARETTA HWY@HOSPITAL BLVD,34.062747,-84.322976
-84.31873,34.0658520000001,139,902770,14022,ALPHARETTA HWY@NORTHMEADOW PKWY,34.065852,-84.31873
-84.316296,34.066263,140,906278,14024,ALPHARETTA HWY@HANEY DR,34.066263,-84.316296
-84.313118,34.0662770000001,141,906279,14026,ALPHARETTA HWY@WILLS RD,34.066277,-84.313118
-84.316063,34.066383,142,906281,14028,ALPHARETTA HWY@HANEY DR,34.066383,-84.316063
-84.319,34.065865,143,906295,14030,ALPHARETTA HWY @ UPPER HEMBREE RD,34.065865,-84.319
